source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__verifier_normalized_uncertainty,21,14,0.005,0.6634772018108634,0.39876897513275,0.21574365244101854,4+,4,False,-0.816458|-0.210752-0.835802j|-0.210752+0.835802j|0.394155,nan
reproduction,20260718__verifier_normalized_uncertainty,21,14,0.01,0.6634772018108634,0.39876897513275,0.21574365244101854,4+,4,False,-0.816458|-0.210752-0.835802j|-0.210752+0.835802j|0.394155,nan
reproduction,20260718__verifier_normalized_uncertainty,21,14,0.02,0.6634772018108634,0.39876897513275,0.21574365244101854,4+,4,False,-0.816458|-0.210752-0.835802j|-0.210752+0.835802j|0.394155,nan
reproduction,20260718__verifier_normalized_uncertainty,21,14,0.03,0.6634772018108634,0.39876897513275,0.21574365244101854,4+,4,False,-0.816458|-0.210752-0.835802j|-0.210752+0.835802j|0.394155,nan
reproduction,20260718__verifier_normalized_uncertainty,21,15,0.005,0.7025961308475986,0.4778102400322606,0.299512979024792,4+,4,False,-0.645644|-0.139349-0.672416j|-0.139349+0.672416j|0.246235,nan
reproduction,20260718__verifier_normalized_uncertainty,21,15,0.01,0.7025961308475986,0.4778102400322606,0.299512979024792,4+,4,False,-0.645644|-0.139349-0.672416j|-0.139349+0.672416j|0.246235,nan
reproduction,20260718__verifier_normalized_uncertainty,21,15,0.02,0.7025961308475986,0.4778102400322606,0.299512979024792,4+,4,False,-0.645644|-0.139349-0.672416j|-0.139349+0.672416j|0.246235,nan
reproduction,20260718__verifier_normalized_uncertainty,21,15,0.03,0.7025961308475986,0.4778102400322606,0.299512979024792,4+,4,False,-0.645644|-0.139349-0.672416j|-0.139349+0.672416j|0.246235,nan
reproduction,20260718__verifier_normalized_uncertainty,21,16,0.005,0.7310419697006423,0.5356864929725588,0.37420448133353185,4+,4,False,-0.723757|-0.0607101-0.546644j|-0.0607101+0.546644j|0.138051,nan
reproduction,20260718__verifier_normalized_uncertainty,21,16,0.01,0.7310419697006423,0.5356864929725588,0.37420448133353185,4+,4,False,-0.723757|-0.0607101-0.546644j|-0.0607101+0.546644j|0.138051,nan
reproduction,20260718__verifier_normalized_uncertainty,21,16,0.02,0.7310419697006423,0.5356864929725588,0.37420448133353185,4+,4,False,-0.723757|-0.0607101-0.546644j|-0.0607101+0.546644j|0.138051,nan
reproduction,20260718__verifier_normalized_uncertainty,21,16,0.03,0.7310419697006423,0.5356864929725588,0.37420448133353185,4+,4,False,-0.723757|-0.0607101-0.546644j|-0.0607101+0.546644j|0.138051,nan
reproduction,20260718__normalized_uncertainty_gap,21,10,0.005,0.6552350989839357,0.3744375240949671,0.18631786404047407,4+,4,False,-0.407356|-0.0318824-0.453534j|-0.0318824+0.453534j|0.497118,nan
reproduction,20260718__normalized_uncertainty_gap,21,10,0.01,0.6552350989839357,0.3744375240949671,0.18631786404047407,4+,4,False,-0.407356|-0.0318824-0.453534j|-0.0318824+0.453534j|0.497118,nan
reproduction,20260718__normalized_uncertainty_gap,21,10,0.02,0.6552350989839357,0.3744375240949671,0.18631786404047407,4+,4,False,-0.407356|-0.0318824-0.453534j|-0.0318824+0.453534j|0.497118,nan
reproduction,20260718__normalized_uncertainty_gap,21,10,0.03,0.6552350989839357,0.3744375240949671,0.18631786404047407,4+,4,False,-0.407356|-0.0318824-0.453534j|-0.0318824+0.453534j|0.497118,nan
reproduction,20260718__normalized_uncertainty_gap,21,12,0.005,0.6565029655876201,0.3742124794785243,0.18620074977204396,4+,4,False,-0.400541|-0.0352838-0.449203j|-0.0352838+0.449203j|0.489611,nan
